,PLN,SOC,TEMP,Time,Discharge Capacity,Elap_time,Cap
0,3.0,0.0,50.0,3W,1.5680729919999998,0.0,1.0
1,4.0,0.0,50.0,3W,1.557777135,0.0,1.0
2,5.0,0.0,50.0,3W,1.571982891,0.0,1.0
3,6.0,0.0,50.0,3W,1.563703759,0.0,1.0
4,15.0,100.0,50.0,3W,1.576211159,0.0,1.0
5,16.0,100.0,50.0,3W,1.556422215,0.0,1.0
6,17.0,100.0,50.0,3W,1.573829616,0.0,1.0
7,18.0,100.0,50.0,3W,1.55984506,0.0,1.0
8,27.0,50.0,50.0,3W,1.557496169,0.0,1.0
9,28.0,50.0,50.0,3W,1.5459281790000001,0.0,1.0
10,29.0,50.0,50.0,3W,1.557192972,0.0,1.0
11,30.0,50.0,50.0,3W,1.5685642340000001,0.0,1.0
12,51.0,50.0,25.0,3W,1.5754811290000001,0.0,1.0
13,52.0,50.0,25.0,3W,1.548829655,0.0,1.0
14,53.0,50.0,25.0,3W,1.5542140169999998,0.0,1.0
15,54.0,50.0,25.0,3W,1.564188013,0.0,1.0
16,67.0,0.0,25.0,3W,1.5639852419999998,0.0,1.0
17,68.0,0.0,25.0,3W,1.548102799,0.0,1.0
18,69.0,0.0,25.0,3W,1.544983016,0.0,1.0
19,70.0,0.0,25.0,3W,1.554105233,0.0,1.0
20,71.0,100.0,25.0,3W,1.5695794930000002,0.0,1.0
21,72.0,100.0,25.0,3W,1.55138754,0.0,1.0
22,73.0,100.0,25.0,3W,1.5525812069999998,0.0,1.0
23,74.0,100.0,25.0,3W,1.542345335,0.0,1.0
24,83.0,50.0,-5.0,3W,1.564972565,0.0,1.0
25,84.0,50.0,-5.0,3W,1.561187448,0.0,1.0
26,85.0,50.0,-5.0,3W,1.561906812,0.0,1.0
27,86.0,50.0,-5.0,3W,1.569982912,0.0,1.0
28,95.0,100.0,-5.0,3W,1.550214505,0.0,1.0
29,96.0,100.0,-5.0,3W,1.566353516,0.0,1.0
30,97.0,100.0,-5.0,3W,1.5439738440000002,0.0,1.0
31,98.0,100.0,-5.0,3W,1.570421483,0.0,1.0
32,115.0,0.0,-5.0,3W,1.5414736359999999,0.0,1.0
33,116.0,0.0,-5.0,3W,1.5550916190000001,0.0,1.0
34,117.0,0.0,-5.0,3W,1.5688420840000001,0.0,1.0
35,118.0,0.0,-5.0,3W,1.5730476340000001,0.0,1.0
36,119.0,50.0,-40.0,3W,1.5518683780000002,0.0,1.0
37,120.0,50.0,-40.0,3W,1.558346159,0.0,1.0
38,121.0,50.0,-40.0,3W,1.583487686,0.0,1.0
39,122.0,50.0,-40.0,3W,1.5636564469999998,0.0,1.0
40,127.0,100.0,-40.0,3W,1.546277855,0.0,1.0
41,128.0,100.0,-40.0,3W,1.56827483,0.0,1.0
42,129.0,100.0,-40.0,3W,1.5402563530000002,0.0,1.0
43,130.0,100.0,-40.0,3W,1.5507613130000002,0.0,1.0
44,3.0,0.0,50.0,3W,1.5680729919999998,0.0,1.0
45,3.0,0.0,50.0,3W,1.5680729919999998,0.0,1.0
46,4.0,0.0,50.0,3W,1.557777135,0.0,1.0
47,5.0,0.0,50.0,3W,1.571982891,0.0,1.0
48,6.0,0.0,50.0,3W,1.563703759,0.0,1.0
49,15.0,100.0,50.0,3W,1.576211159,0.0,1.0
50,16.0,100.0,50.0,3W,1.556422215,0.0,1.0
51,17.0,100.0,50.0,3W,1.573829616,0.0,1.0
52,18.0,100.0,50.0,3W,1.55984506,0.0,1.0
53,27.0,50.0,50.0,3W,1.557496169,0.0,1.0
54,28.0,50.0,50.0,3W,1.5459281790000001,0.0,1.0
55,3.0,0.0,50.0,3W,1.5680729919999998,0.0,1.0
56,4.0,0.0,50.0,3W,1.557777135,0.0,1.0
