latitude,longitude,time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
64.8378,-147.7164,2016-01-01 01:00:00,Clear,0,0,23.88,23.88,21.67,0.91,1002.59,1.64,112,0,NaN,6.22
64.8378,-147.7164,2016-01-01 02:00:00,Clear,0,0,21.26,21.26,19.5,0.93,1003.26,2.32,75,0.01,NaN,8.38
64.8378,-147.7164,2016-01-01 03:00:00,Clear,0,0,19.8,19.8,17.94,0.92,1004.1,1.24,23,0,NaN,8.92
64.8378,-147.7164,2016-01-01 04:00:00,Partly Cloudy,0,0,17.51,12.48,14.98,0.9,1005.3,3.26,96,0.27,NaN,6.6
64.8378,-147.7164,2016-01-01 05:00:00,Clear,0,0,15.81,15.81,13.57,0.91,1006.21,2.52,84,0,NaN,8.38
64.8378,-147.7164,2016-01-01 06:00:00,Clear,0,0,14.25,5.91,11.16,0.87,1006.73,5.26,173,0,NaN,9.51
64.8378,-147.7164,2016-01-01 07:00:00,Clear,0,0,12.68,12.68,9.19,0.86,1007.27,1.59,68,0,NaN,9.51
64.8378,-147.7164,2016-01-01 08:00:00,Clear,0,0,12.47,12.47,8.96,0.85,1007.61,1.94,61,0.02,NaN,10
64.8378,-147.7164,2016-01-01 09:00:00,Clear,0,0,10.78,10.78,7.67,0.87,1007.83,2.34,110,0.11,NaN,10
64.8378,-147.7164,2016-01-01 10:00:00,Clear,0,0,10.52,0.63,6.66,0.84,1007.99,6.02,132,0.12,NaN,4.6
64.8378,-147.7164,2016-01-01 11:00:00,Clear,0,0,11.43,11.43,7.66,0.84,1007.82,2.45,37,0.11,NaN,10
64.8378,-147.7164,2016-01-01 12:00:00,Partly Cloudy,0,0,12.93,1.67,3.91,0.67,1007.38,7.94,92,0.28,NaN,10
64.8378,-147.7164,2016-01-01 13:00:00,Partly Cloudy,0,0,13.9,7.48,4.51,0.66,1007.16,3.8,55,0.28,NaN,10
64.8378,-147.7164,2016-01-01 14:00:00,Clear,0,0,14.61,4.18,12.2,0.9,1005.94,7.4,68,0,NaN,10
64.8378,-147.7164,2016-01-01 15:00:00,Clear,0,0,15.52,4.19,13.08,0.9,1005.37,8.75,64,0,NaN,10
