latitude,longitude,time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
34.953,-120.4357,12/31/2015 0:00,Clear,0,0,42.74,42.74,29.42,0.59,1022.37,2.23,358,0,NaN,10
34.953,-120.4357,12/31/2015 1:00,Clear,0,0,40.02,37.86,31.35,0.71,1022.11,3.47,66,0,NaN,10
34.953,-120.4357,12/31/2015 2:00,Clear,0,0,38.62,35.7,31.16,0.74,1021.94,4.03,50,0,NaN,10
34.953,-120.4357,12/31/2015 3:00,Clear,0,0,38.5,35.04,30.79,0.74,1021.63,4.6,68,0,NaN,10
34.953,-120.4357,12/31/2015 4:00,Clear,0,0,37.22,34.22,30.46,0.76,1021.3,3.89,48,0,NaN,10
34.953,-120.4357,12/31/2015 5:00,Clear,0,0,37.2,37.2,30.58,0.77,1021.12,2.68,94,0,NaN,10
34.953,-120.4357,12/31/2015 6:00,Clear,0,0,37.2,34.39,30.6,0.77,1021.29,3.7,75,0,NaN,9.96
34.953,-120.4357,12/31/2015 7:00,Clear,0,0,37.62,34.68,30.26,0.74,1021.6,3.89,134,0,NaN,9.92
34.953,-120.4357,12/31/2015 8:00,Clear,0,0,38.95,34.61,31.38,0.74,1021.64,5.85,105,0,NaN,9.77
34.953,-120.4357,12/31/2015 9:00,Clear,0,0,46.37,43.73,33.74,0.61,1021.6,5.35,102,0,NaN,9.81
34.953,-120.4357,12/31/2015 10:00,Clear,0,0,51.03,51.03,31.78,0.48,1021.85,3.9,112,0,NaN,10
34.953,-120.4357,12/31/2015 11:00,Clear,0,0,55.91,55.91,33.24,0.42,1021.7,0.25,342,0,NaN,10
34.953,-120.4357,12/31/2015 12:00,Clear,0,0,58.41,58.41,32.89,0.38,1020.94,5.64,266,0,NaN,10
34.953,-120.4357,12/31/2015 13:00,Clear,0,0,58.59,58.59,33.13,0.38,1020.37,8.04,253,0,NaN,10
34.953,-120.4357,12/31/2015 14:00,Clear,0,0,58.45,58.45,32.65,0.38,1019.94,7.41,251,0,NaN,10
34.953,-120.4357,12/31/2015 15:00,Clear,0,0,58.15,58.15,33.57,0.39,1019.77,6.39,260,0,NaN,10
34.953,-120.4357,12/31/2015 16:00,Clear,0,0,56.17,56.17,34.11,0.43,1019.81,5.25,245,0,NaN,10
34.953,-120.4357,12/31/2015 17:00,Clear,0,0,52.92,52.92,37.02,0.55,1019.88,3.47,299,0,NaN,10
