latitude,longitude,time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
44.9429,-123.0351,2016-11-29 00:00:00,Partly Cloudy,0.0018,0.12,43.6,40.69,40.35,0.88,1022.5,5.02,137,0.31,0,9.46
44.9429,-123.0351,2016-11-29 01:00:00,Partly Cloudy,0.0015,0.09,42.84,40.76,40.76,0.92,1022.61,3.82,162,0.3,0,9.51
44.9429,-123.0351,2016-11-29 02:00:00,Clear,0.0015,0.06,41.46,41.46,39.38,0.92,1022.68,2.31,154,0.05,0,9.26
44.9429,-123.0351,2016-11-29 03:00:00,Clear,0.0003,0.03,42.22,39.8,40.31,0.93,1022.9,4.1,152,0.13,0,8.44
44.9429,-123.0351,2016-11-29 04:00:00,Mostly Cloudy,0,0,42.05,42.05,39.77,0.92,1022.87,2.64,215,0.84,0,8.06
44.9429,-123.0351,2016-11-29 05:00:00,Partly Cloudy,0,0,40.9,40.9,38.83,0.92,1023.05,0.9,188,0.31,0,5.29
44.9429,-123.0351,2016-11-29 06:00:00,Clear,0,0,41.71,41.71,39.93,0.93,1022.74,2.8,128,NaN,NaN,8.11
44.9429,-123.0351,2016-11-29 07:00:00,Clear,0,0,42.52,41.01,40.15,0.91,1022.79,3.19,141,NaN,NaN,8.63
44.9429,-123.0351,2016-11-29 08:00:00,Clear,0.0003,0.03,43.73,40.59,41.3,0.91,1022.69,5.39,161,NaN,NaN,8.49
44.9429,-123.0351,2016-11-29 09:00:00,Partly Cloudy,0.0003,0.03,45.48,42.46,42.34,0.89,1022.86,5.7,163,0.31,0,8.62
44.9429,-123.0351,2016-11-29 10:00:00,Mostly Cloudy,0.0003,0.03,47.16,44.23,42.97,0.85,1023.1,6.11,164,0.73,1,9.41
44.9429,-123.0351,2016-11-29 11:00:00,Partly Cloudy,0,0,48.74,45.32,42.5,0.79,1022.94,7.79,189,0.31,1,9.52
44.9429,-123.0351,2016-11-29 12:00:00,Partly Cloudy,0,0,50.03,50.03,42.05,0.74,1022.01,6.41,156,0.31,1,9.8
44.9429,-123.0351,2016-11-29 13:00:00,Partly Cloudy,0,0,51.11,51.11,42.73,0.73,1021.19,6.34,168,0.28,1,10
44.9429,-123.0351,2016-11-29 14:00:00,Clear,0,0,51.67,51.67,41.31,0.68,1019.8,6.71,154,0.19,1,10
44.9429,-123.0351,2016-11-29 15:00:00,Clear,0,0,51.7,51.7,40.55,0.66,1019.02,6.32,174,0.01,1,10
44.9429,-123.0351,2016-11-29 16:00:00,Clear,0,0,49.75,47.53,40.77,0.71,1017.84,5.7,167,0.11,0,10
44.9429,-123.0351,2016-11-29 17:00:00,Clear,0,0,47.34,45.32,40.93,0.78,1017.04,4.65,179,0.07,0,10
44.9429,-123.0351,2016-11-29 18:00:00,Clear,0,0,44.13,41.27,39.91,0.85,1016.08,5.08,128,0.03,0,10
44.9429,-123.0351,2016-11-29 19:00:00,Clear,0,0,44.29,41.59,40.29,0.86,1015.81,4.89,148,0.11,0,10
44.9429,-123.0351,2016-11-29 20:00:00,Partly Cloudy,0.0006,0.06,44.6,42.08,40.75,0.86,1015.19,4.71,142,0.31,0,9.9
44.9429,-123.0351,2016-11-29 21:00:00,Clear,0.0087,0.78,46.44,42.67,41.41,0.83,1015.42,7.47,171,NaN,NaN,9.88
44.9429,-123.0351,2016-11-29 22:00:00,Overcast,0.0222,0.97,46.16,41.97,42.36,0.87,1014.92,8.27,158,1,0,9.65
44.9429,-123.0351,2016-11-29 23:00:00,Clear,0.0149,0.84,46.22,42.16,43.19,0.89,1015.24,8.01,166,NaN,NaN,9.31
44.9429,-123.0351,2017-02-01 00:00:00,Clear,0,0,34.35,28.48,27.42,0.75,1021.36,6.78,358,0.01,0,10
44.9429,-123.0351,2017-02-01 01:00:00,Clear,0,0,34.33,28.26,26.35,0.72,1020.86,7.07,359,0.02,0,10
44.9429,-123.0351,2017-02-01 02:00:00,Clear,0,0,35.07,28.94,25.02,0.66,1020.64,7.41,3,0.2,0,10
44.9429,-123.0351,2017-02-01 03:00:00,Clear,0,0,35.79,30.11,23.63,0.61,1020.4,6.93,17,0.03,0,10
44.9429,-123.0351,2017-02-01 04:00:00,Partly Cloudy,0,0,35.65,29.32,23.25,0.6,1019.88,7.93,25,0.59,0,10
44.9429,-123.0351,2017-02-01 05:00:00,Clear,0,0,36.16,30.33,22.23,0.57,1019.49,7.28,22,0,0,10
44.9429,-123.0351,2017-02-01 06:00:00,Clear,0,0,36.15,29.57,21.96,0.56,1018.8,8.6,27,0.11,0,10
44.9429,-123.0351,2017-02-01 07:00:00,Clear,0,0,36.61,29.37,21.36,0.54,1018.89,10.16,26,0,0,10
44.9429,-123.0351,2017-02-01 08:00:00,Clear,0,0,36.66,30.39,19.79,0.5,1018.78,8.24,34,0.23,0,10
44.9429,-123.0351,2017-02-01 09:00:00,Clear,0,0,37.58,31.98,19.71,0.48,1019.02,7.4,33,0.23,1,10
44.9429,-123.0351,2017-02-01 10:00:00,Clear,0,0,39.08,33.19,19.37,0.45,1018.76,8.55,30,0.07,1,10
