Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.83813198,7.303991665,0,6.912313413,0.185080457,0.185080457,0.185080457,0.132991831,0.027554418,0.092942925,0.38421435,0.365212105
 01/01  02:00:00,0.741208676,7.86549384,0,7.5540285,0.202262682,0.202262682,0.202262682,0.077578597,0.016073408,0.07618578,0.35376021,0.28709699
 01/01  03:00:00,0.707534573,8.256196731,0,7.966513219,0.213307155,0.213307155,0.213307155,0.055413276,0.011481007,0.062326493,0.349658642,0.265597693
 01/01  04:00:00,0.701494992,8.531987871,0,8.236624717,0.220539518,0.220539518,0.220539518,0.055413276,0.011481007,0.053976431,0.344736761,0.271616373
 01/01  05:00:00,0.705401847,8.784118674,0,8.426458851,0.225622417,0.225622417,0.225622417,0.055413276,0.011481007,0.065822864,0.331714284,0.33481008
 01/01  06:00:00,0.758744329,9.082699529,0,8.450173419,0.226257385,0.226257385,0.226257385,0.055413276,0.011481007,0.080078181,0.37016648,0.607027634
 01/01  07:00:00,0.981686032,10.275279,0,9.128005866,0.244406669,0.244406669,0.244406669,0.127450542,0.026406311,0.140383543,0.427690967,1.117812151
 01/01  08:00:00,1.269023609,10.30513463,0,9.010168619,0.241251521,0.241251521,0.241251521,0.260442373,0.053960728,0.228567291,0.454453696,1.263661512
 01/01  09:00:00,1.211467956,9.09476585,0,7.833788975,0.209753401,0.209753401,0.209753401,0.249359726,0.051664529,0.30112795,0.38421435,1.234510728
 01/01  10:00:00,1.04789952,7.74360407,0,6.596807301,0.176632632,0.176632632,0.176632632,0.127450542,0.026406311,0.375064554,0.326997481,1.124271938
 01/01  11:00:00,1.053200065,7.745641388,0,6.732734041,0.180272135,0.180272135,0.180272135,0.105285248,0.021813913,0.395792849,0.33468792,0.989852769
 01/01  12:00:00,1.01584219,5.559191411,0,4.668305476,0.124996085,0.124996085,0.124996085,0.105285248,0.021813913,0.413608485,0.334790459,0.867824293
 01/01  13:00:00,0.962432759,4.202333956,0,3.405292449,0.091178314,0.091178314,0.091178314,0.105285248,0.021813913,0.39965648,0.329150804,0.774368346
 01/01  14:00:00,0.918675446,3.51331342,0,2.773426897,0.074259815,0.074259815,0.074259815,0.105285248,0.021813913,0.361435816,0.340532654,0.716429337
 01/01  15:00:00,0.908691131,3.229060955,0,2.542601213,0.068079349,0.068079349,0.068079349,0.110826537,0.022962019,0.331767743,0.359707483,0.661681722
 01/01  16:00:00,0.97418748,3.382112039,0,2.688227733,0.071978568,0.071978568,0.071978568,0.138533189,0.02870251,0.339922589,0.379702625,0.667728943
 01/01  17:00:00,1.220906284,3.974915386,0,3.205994538,0.085842018,0.085842018,0.085842018,0.232735722,0.048220224,0.389638663,0.449121658,0.737983639
 01/01  18:00:00,1.694357495,5.815324461,0,4.900050596,0.13120117,0.13120117,0.13120117,0.432223571,0.08955185,0.480421868,0.545611037,0.8776901
 01/01  19:00:00,1.958975556,5.265311468,0,4.208738206,0.112690954,0.112690954,0.112690954,0.642793999,0.133179675,0.43259402,0.592368908,1.015768636
 01/01  20:00:00,1.914009526,5.375758382,0,4.288626544,0.114830002,0.114830002,0.114830002,0.681583298,0.141216379,0.349590651,0.611441197,1.04501344
 01/01  21:00:00,1.794673209,5.75874824,0,4.74515691,0.127053818,0.127053818,0.127053818,0.587380696,0.121698665,0.310730298,0.632461732,0.970024958
