,lmp_value,hour,day,month,summary,precipIntensity,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,visibility
0,30.56196,7,4,1,5,0.0,36.78,33.1,32.47,0.84,1020.18,4.53,111.0,0.0,9.69
1,32.26382,8,4,1,5,0.0,39.36,34.56,33.89,0.81,1020.67,6.69,112.0,0.0,9.59
2,30.84944,9,4,1,5,0.0,46.7,43.65,35.51,0.65,1021.0,6.16,119.0,0.01,9.61
3,30.71027,10,4,1,5,0.0,52.42,52.42,35.37,0.52,1021.58,3.27,105.0,0.0,9.8
4,28.87975,11,4,1,5,0.0,55.66,55.66,37.79,0.51,1021.44,1.78,339.0,0.17,9.92
5,29.17903,12,4,1,5,0.0,58.14,58.14,37.45,0.46,1020.57,0.81,182.0,0.0,10.0
6,30.42619,13,4,1,5,0.0,59.05,59.05,37.3,0.44,1019.87,4.1,264.0,0.17,10.0
7,31.87953,14,4,1,5,0.0,58.85,58.85,37.16,0.44,1019.15,2.36,273.0,0.22,10.0
8,30.91695,15,4,1,5,0.0,58.39,58.39,35.15,0.42,1019.04,5.62,223.0,0.0,10.0
9,28.09859,16,4,1,2,0.0,56.62,56.62,38.22,0.5,1019.12,4.73,300.0,0.68,10.0
10,25.70607,17,4,1,5,0.0,53.76,53.76,40.64,0.61,1019.06,4.13,332.0,0.0,10.0
11,23.63367,18,4,1,5,0.0,52.19,52.19,41.23,0.66,1019.32,1.79,281.0,0.0,10.0
12,21.30628,19,4,1,5,0.0,50.11,50.11,41.62,0.73,1019.72,1.53,33.0,0.0,10.0
13,20.03922,20,4,1,5,0.0,47.61,47.61,41.14,0.78,1019.89,1.28,124.0,0.04,9.51
14,20.10044,21,4,1,5,0.0,46.3,46.3,40.15,0.79,1020.08,1.98,113.0,0.0,9.51
15,20.87603,22,4,1,5,0.0,46.19,46.19,39.92,0.79,1020.29,2.19,133.0,0.0,8.64
16,24.36102,23,4,1,5,0.0,46.38,46.38,40.1,0.79,1020.18,2.24,88.0,0.0,10.0
17,33.51656,0,5,1,5,0.0,46.08,46.08,40.36,0.8,1019.99,1.59,74.0,0.0,10.0
18,45.80249,1,5,1,5,0.0,46.52,46.52,39.82,0.77,1019.66,2.45,81.0,0.0,10.0
19,47.0985,2,5,1,5,0.0,45.69,45.69,39.92,0.8,1019.53,2.64,115.0,0.0,9.96
20,45.53646,3,5,1,5,0.0,43.98,42.29,39.03,0.83,1019.31,3.58,97.0,0.01,10.0
21,42.21761,4,5,1,5,0.0,43.42,40.75,38.35,0.82,1018.88,4.66,103.0,0.04,10.0
22,38.11994,5,5,1,5,0.0,43.05,40.79,37.67,0.81,1018.64,4.05,97.0,0.04,10.0
23,35.05691,6,5,1,5,0.0,42.25,40.74,36.74,0.81,1018.44,3.15,87.0,0.0,10.0
24,30.98602,7,5,1,5,0.0,43.11,41.68,37.35,0.8,1018.58,3.18,152.0,0.0,10.0
25,30.93987,8,5,1,5,0.0,44.66,42.61,37.47,0.76,1018.91,4.1,113.0,0.0,10.0
26,29.9271,9,5,1,5,0.0,47.83,46.36,39.15,0.72,1018.89,4.01,134.0,0.0,10.0
27,28.8717,10,5,1,12,0.0,52.43,52.43,36.99,0.56,1019.27,4.78,135.0,0.51,10.0
28,28.88777,11,5,1,5,0.0,57.77,57.77,33.51,0.4,1018.73,5.48,104.0,0.13,10.0
29,30.13073,12,5,1,5,0.0,59.64,59.64,31.04,0.34,1017.78,7.69,159.0,0.19,10.0
30,30.51149,13,5,1,5,0.0,61.14,61.14,29.37,0.3,1016.74,8.75,172.0,0.02,10.0
31,30.85515,14,5,1,5,0.0,60.69,60.69,33.22,0.35,1016.09,11.15,173.0,0.0,10.0
32,30.65548,15,5,1,5,0.0,59.74,59.74,37.86,0.44,1016.2,9.78,183.0,0.08,10.0
33,28.0448,16,5,1,12,0.0,58.16,58.16,42.15,0.55,1015.99,7.21,195.0,0.51,10.0
34,25.05,17,5,1,5,0.0,56.73,56.73,44.05,0.62,1016.16,8.14,183.0,0.13,10.0
35,24.64222,18,5,1,5,0.0,55.37,55.37,44.17,0.66,1016.38,7.06,167.0,0.05,10.0
36,24.62219,19,5,1,5,0.0,52.8,52.8,44.0,0.72,1016.33,6.54,160.0,0.06,10.0
37,21.48047,20,5,1,5,0.0,51.82,51.82,44.65,0.76,1016.42,4.88,168.0,0.01,10.0
38,19.77531,21,5,1,5,0.0,52.09,52.09,44.79,0.76,1016.99,7.83,168.0,0.11,10.0
39,23.10667,22,5,1,5,0.0,51.79,51.79,45.2,0.78,1017.08,4.95,121.0,0.04,10.0
40,24.31779,23,5,1,5,0.0,50.68,50.68,44.67,0.8,1016.73,6.54,149.0,0.04,9.51
41,33.47938,0,6,1,5,0.0,50.8,50.8,44.46,0.79,1016.54,5.86,120.0,0.03,10.0
42,44.65787,1,6,1,5,0.0,49.61,46.17,44.35,0.82,1015.98,8.33,126.0,0.0,10.0
43,45.44131,2,6,1,5,0.0,48.78,46.23,44.17,0.84,1015.67,5.98,136.0,0.01,10.0
44,40.78815,3,6,1,5,0.0,49.46,46.95,44.49,0.83,1015.41,6.14,132.0,0.0,10.0
45,40.00466,4,6,1,5,0.0,48.83,45.53,43.72,0.82,1014.93,7.55,120.0,0.05,10.0
46,36.47032,5,6,1,5,0.0,50.0,46.79,44.11,0.8,1014.01,7.94,123.0,0.01,10.0
47,34.26625,6,6,1,5,0.0,49.22,46.62,43.44,0.8,1013.77,6.24,124.0,0.22,10.0
48,31.12712,7,6,1,5,0.0,49.57,46.13,44.08,0.81,1013.78,8.28,144.0,0.0,10.0
49,27.8274,8,6,1,5,0.0,48.92,44.25,43.47,0.81,1013.81,11.37,150.0,0.0,10.0
50,26.15023,9,6,1,5,0.0,53.38,53.38,44.42,0.72,1014.3,6.82,145.0,0.1,10.0
51,27.00535,10,6,1,2,0.0,56.3,56.3,44.12,0.64,1013.96,6.86,124.0,0.8,10.0
52,27.35459,11,6,1,10,0.0,59.44,59.44,42.74,0.54,1013.27,15.45,147.0,0.18,10.0
53,28.13747,12,6,1,10,0.0,60.36,60.36,42.33,0.51,1011.76,18.0,145.0,0.12,10.0
54,29.29331,13,6,1,5,0.0,60.94,60.94,40.58,0.47,1010.38,18.25,153.0,0.13,10.0
55,30.62065,14,6,1,5,0.0,61.65,61.65,40.25,0.45,1009.51,13.94,147.0,0.0,10.0
56,29.91651,15,6,1,5,0.0,61.11,61.11,40.92,0.47,1009.04,18.6,140.0,0.02,10.0
57,26.85615,16,6,1,2,0.0,60.25,60.25,41.61,0.5,1008.98,14.61,143.0,0.79,10.0
58,25.65341,17,6,1,5,0.0,59.84,59.84,42.9,0.53,1009.0,11.21,141.0,0.22,10.0
59,24.36357,18,6,1,5,0.0,58.31,58.31,43.98,0.59,1008.83,13.46,134.0,0.15,10.0
60,24.33229,19,6,1,5,0.0,58.64,58.64,44.25,0.59,1008.81,14.59,138.0,0.19,9.77
61,20.59723,20,6,1,12,0.0,57.84,57.84,44.97,0.62,1009.1,10.66,128.0,0.31,9.9
62,20.43679,21,6,1,12,0.0,57.81,57.81,44.99,0.62,1009.09,11.59,129.0,0.29,10.0
63,23.68145,22,6,1,2,0.0,57.93,57.93,45.07,0.62,1008.77,10.52,137.0,0.75,10.0
64,25.6087,23,6,1,12,0.0,57.37,57.37,44.88,0.63,1008.83,8.03,138.0,0.31,10.0
65,33.23438,0,0,1,12,0.0,57.43,57.43,45.21,0.64,1008.46,7.57,141.0,0.31,10.0
66,44.33395,1,0,1,5,0.0,56.51,56.51,44.88,0.65,1008.18,6.77,126.0,0.0,10.0
67,45.41797,2,0,1,5,0.0,55.33,55.33,45.93,0.71,1008.1,7.26,125.0,0.0,10.0
68,42.48144,3,0,1,5,0.0,54.66,54.66,47.83,0.78,1008.07,5.98,119.0,0.0,10.0
69,40.86643,4,0,1,6,0.0,53.67,53.67,48.23,0.82,1007.63,3.21,90.0,1.0,9.9
70,37.43706,5,0,1,5,0.0,52.89,52.89,48.22,0.84,1007.8,3.2,94.0,0.0,10.0
71,33.60341,6,0,1,5,0.0004,52.77,52.77,49.16,0.87,1008.14,2.62,108.0,0.0,10.0
72,29.60125,7,0,1,5,0.0,52.94,52.94,48.85,0.86,1008.66,2.59,101.0,0.0,10.0
73,25.46925,8,0,1,5,0.0,53.24,53.24,49.93,0.89,1009.2,1.65,69.0,0.0,10.0
74,24.69803,9,0,1,5,0.0004,54.76,54.76,49.64,0.83,1009.76,1.68,157.0,0.0,9.96
75,24.0746,10,0,1,6,0.0,55.88,55.88,48.28,0.76,1010.28,1.02,144.0,1.0,10.0
76,24.24391,11,0,1,5,0.0,58.78,58.78,47.54,0.66,1010.38,2.05,100.0,0.0,10.0
77,25.70153,12,0,1,5,0.0,61.12,61.12,44.82,0.55,1009.45,5.23,205.0,0.0,10.0
78,29.6705,13,0,1,5,0.0,61.01,61.01,46.62,0.59,1009.11,5.09,245.0,0.0,10.0
79,36.02813,14,0,1,5,0.0,60.23,60.23,48.95,0.66,1009.24,4.94,223.0,0.0,9.64
80,39.44969,15,0,1,5,0.0,60.49,60.49,49.46,0.67,1009.25,5.89,233.0,0.0,10.0
81,34.14065,16,0,1,6,0.0,59.73,59.73,48.05,0.65,1009.3,4.62,188.0,0.95,10.0
82,32.33716,17,0,1,5,0.0,58.71,58.71,49.09,0.7,1009.23,3.66,149.0,0.0,10.0
83,30.22787,18,0,1,12,0.0,56.09,56.09,49.0,0.77,1009.72,2.51,189.0,0.31,9.31
84,30.06439,19,0,1,5,0.0,54.19,54.19,49.48,0.84,1009.79,3.31,151.0,0.23,9.77
85,28.68542,20,0,1,12,0.0,53.41,53.41,48.71,0.84,1010.16,3.39,165.0,0.31,10.0
86,27.52592,21,0,1,12,0.0,53.88,53.88,48.12,0.81,1010.2,5.47,152.0,0.31,10.0
87,29.38361,22,0,1,2,0.0,53.9,53.9,48.03,0.8,1010.27,7.04,132.0,0.88,10.0
88,30.14642,23,0,1,12,0.0,54.12,54.12,48.21,0.8,1010.07,6.47,142.0,0.31,10.0
89,35.5192,0,1,1,5,0.0,55.95,55.95,47.69,0.74,1009.61,9.13,142.0,0.0,9.31
90,50.02562,1,1,1,7,0.0276,55.47,55.47,48.72,0.78,1008.69,11.54,136.0,0.0,9.96
91,44.56696,2,1,1,5,0.0036,55.74,55.74,48.49,0.77,1008.33,10.76,144.0,0.0,10.0
92,41.78493,3,1,1,5,0.0033,55.3,55.3,48.26,0.77,1008.17,9.69,152.0,0.0,9.23
93,40.02817,4,1,1,11,0.0256,55.41,55.41,49.36,0.8,1006.99,14.5,136.0,1.0,9.67
94,36.21943,5,1,1,10,0.0246,55.45,55.45,50.29,0.83,1005.97,16.33,133.0,0.0,8.97
95,32.30672,6,1,1,17,0.068,55.26,55.26,51.78,0.88,1005.6,16.11,143.0,0.0,5.95
96,28.80571,7,1,1,9,0.1511,55.49,55.49,52.48,0.9,1006.1,10.47,156.0,0.0,4.2
97,24.79584,8,1,1,9,0.0719,55.85,55.85,53.12,0.91,1006.44,9.88,162.0,0.0,4.64
98,23.9908,9,1,1,9,0.095,57.51,57.51,54.71,0.9,1007.18,9.83,267.0,0.0,9.07
99,23.10113,10,1,1,6,0.0004,57.7,57.7,52.89,0.84,1008.36,12.98,264.0,1.0,9.14
100,22.25024,11,1,1,7,0.0381,56.61,56.61,51.85,0.84,1008.74,8.02,283.0,0.31,8.1
101,23.75889,12,1,1,7,0.0307,55.81,55.81,52.24,0.88,1008.37,11.07,250.0,0.0,4.77
102,28.51368,13,1,1,9,0.0631,55.59,55.59,51.47,0.86,1008.29,9.16,274.0,0.0,5.59
103,33.57571,14,1,1,12,0.0102,56.33,56.33,50.96,0.82,1008.42,16.84,288.0,0.31,9.63
104,36.85927,15,1,1,5,0.0095,55.42,55.42,49.66,0.81,1009.13,14.71,292.0,0.0,9.84
105,33.74427,16,1,1,2,0.004,55.41,55.41,49.74,0.81,1009.83,13.6,295.0,0.69,9.2
106,32.10211,17,1,1,12,0.005,54.47,54.47,48.77,0.81,1010.57,10.5,303.0,0.31,8.06
107,30.3253,18,1,1,12,0.003,52.2,52.2,47.82,0.85,1011.54,7.49,307.0,0.31,10.0
108,30.18236,19,1,1,12,0.0,52.97,52.97,48.38,0.84,1011.94,4.14,326.0,0.31,8.37
109,28.87468,20,1,1,12,0.0,51.77,51.77,48.31,0.88,1012.64,3.01,264.0,0.3,9.9
