Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed
2016,1,1,0,30,0,0,-34.55939331,4.726525879,959.5582275,51.13240433,166.9811784,0.974562883
2016,1,1,1,30,0,0,-33.10143127,4.583978271,959.5716553,52.64186859,157.6079291,0.948302269
2016,1,1,2,30,0,0,-31.48494568,4.420373535,959.5355225,54.36214066,145.7922171,0.911973715
2016,1,1,3,30,0,0,-28.32521667,4.309442139,959.5959473,57.6654892,133.4842114,0.870387852
2016,1,1,4,30,0,0,-25.1984314,4.256494141,959.8150635,61.03277969,121.1648601,0.841938734
2016,1,1,5,30,0,0,-24.14423218,4.164056396,960.2512207,62.27532196,109.0665262,0.838764191
2016,1,1,6,30,0,0,-25.78427734,4.387109375,960.8129272,60.27534485,97.39094781,0.85100162
2016,1,1,7,30,22,389,-36.18115845,5.473565674,961.4356689,49.0379715,86.38062037,0.778229117
2016,1,1,8,30,49,748,-49.33817139,7.318688965,961.9943237,37.04575729,76.37964281,0.623884559
2016,1,1,9,30,62,878,-58.04710999,9.564355469,962.2258301,30.04770279,67.86585126,0.574291706
2016,1,1,10,30,68,937,-63.09032288,11.32164917,961.8999023,26.35281754,61.48710208,0.574787021
2016,1,1,11,30,72,960,-63.11456909,12.18395386,961.2457275,25.9927578,57.96913347,0.544968843
2016,1,1,12,30,72,959,-62.62344971,12.55303345,960.7084351,26.1119957,57.84421285,0.522619009
2016,1,1,13,30,69,934,-60.87732544,12.4074646,960.3979492,27.13555908,61.13342728,0.47396946
2016,1,1,14,30,62,874,-56.25025024,11.64147339,960.3782959,30.18217087,67.33210548,0.411153316
2016,1,1,15,30,50,745,-30.92966309,10.68639526,960.7393188,49.79559708,75.71713394,0.379599512
2016,1,1,16,30,24,414,-4.068212891,10.50158081,961.1187744,79.34365082,85.63040796,0.364519715
2016,1,1,17,30,0,0,4.864709473,10.6352478,961.3330078,91.38881683,96.58155255,0.33839339
2016,1,1,18,30,0,0,6.570489502,10.53310547,961.6466675,94.02165222,108.2184318,0.304226458
2016,1,1,19,30,0,0,8.697503662,10.57344971,961.8686523,97.13549042,120.2928914,0.247314125
2016,1,1,20,30,0,0,10.2791687,10.55809937,962.0944824,99.5700531,132.6013539,0.203237936
2016,1,1,21,30,0,0,10.36452637,10.36452637,962.1824951,100,144.9159117,0.215048105
2016,1,1,22,30,0,0,10.01815186,10.01818237,962.1791382,100,156.785164,0.268806189
2016,1,1,23,30,0,0,9.586663818,9.586633301,962.0552979,100,166.4585458,0.342373192
2016,1,2,0,30,0,0,9.233148193,9.233148193,961.8989868,100,166.9531648,0.403598189
2016,1,2,1,30,0,0,8.955499268,8.95546875,961.8228149,100,157.6454894,0.442672998
2016,1,2,2,30,0,0,8.663323975,8.663293457,961.4562988,100,145.847179,0.491543174
