"STATION","NAME","DATE","AWND","DAPR","EVAP","MDPR","MNPN","MXPN","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT06","WT07","WT08"
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-01","9.62",,,,,,,"0.00","0.0","0","54","62","48",,"  190","  180",,,,"21.9","28.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-02","3.36",,,,,,,"0.05","0.0","0","55","67","50",,"  110","  260",,,,"14.1","17.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-03","3.36",,,,,,,"0.00","0.0","0","55","65","45",,"   20","  340",,,,"10.1","12.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-04","2.68",,,,,,,"0.00","0.0","0","52","70","41",,"  150","  170",,,,"10.1","14.1","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-05","7.16",,,,,,,"0.95","0.0","0","55","57","51",,"  150","  140",,,,"19.9","25.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-06","7.61",,,,,,,"0.00","0.0","0","55","62","50",,"  200","  200",,,,"16.1","19.9",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-07","2.01",,,,,,,"0.00","0.0","0","55","62","48",,"  120","  110",,,,"8.1","11.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-08","3.58",,,,,,,"0.00","0.0","0","53","68","41",,"  160","  160",,,,"10.1","13.0","    1","    1",,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-09","4.92",,,,,,,"0.01","0.0","0","57","69","49",,"  150","  150",,,,"13.0","14.1","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-10","1.34",,,,,,,"0.00","0.0","0","53","58","44",,"  160","  150",,,,"8.9","11.0","    1","    1",,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-11","3.13",,,,,,,"0.02","0.0","0","52","57","50",,"  150","  140",,,,"16.1","19.0","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-12","8.50",,,,,,,"0.08","0.0","0","57","61","43",,"  190","  180",,,,"25.1","31.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-13","7.16",,,,,,,"0.17",,,"51","59","42",,"  180","  170",,,,"17.0","23.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-14","10.74",,,,,,,"0.84",,,"56","59","53",,"  190","  180",,,,"23.0","32.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-15","11.86",,,,,,,"0.29",,,"56","59","45",,"  220","  200",,,,"23.9","38.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-16","7.83",,,,,,,"0.10","0.0","0","46","50","43",,"  180","  190",,,,"14.1","16.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-17","5.37",,,,,,,"0.00","0.0","0","47","54","37",,"  200","  200",,,,"15.0","19.9",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-18","2.24",,,,,,,"0.00","0.0","0","42","50","37",,"   50","   40",,,,"12.1","14.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-19","5.14",,,,,,,"0.03","0.0","0","48","59","44",,"  190","  190",,,,"23.0","30.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-20","11.41",,,,,,,"0.29","0.0","0","55","57","50",,"  190","  190",,,,"21.0","28.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-21","6.93",,,,,,,"0.03","0.0","0","51","56","43",,"  230","  190",,,,"14.1","17.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-22","7.83",,,,,,,"0.60","0.0","0","47","56","43",,"  180","  170",,,,"18.1","25.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-23","14.32",,,,,,,"0.32",,"0","47","50","44",,"  180","  190",,,,"21.9","31.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-24","16.78",,,,,,,"1.70",,"0","49","53","47",,"  190","  200",,,,"33.1","44.1","    1",,,,,
